,Datetime,Tweet Id,Text,Username
94,2020-10-30 22:20:39+00:00,1.3223E+18,@mrmacaronii @BashirAhmaad @DesmondElliot_ @Laurestar @MBuhari @OfficialAPCNg ..is this too much to ask. Make Nigeria safer and stop looting @IndomieNigeria,FrankJu07798819
95,2020-10-30 22:19:54+00:00,1.3223E+18,"@renoomokri don touch lives jàre, reference gats follow.
#desmondelliot don suffer for this few days . https://t.co/VHKQx05t41",ibcrownofwealth
96,2020-10-30 22:18:37+00:00,1.3223E+18,@DrZobo @DesmondElliot_,Chinaza_Faith_
97,2020-10-30 22:17:05+00:00,1.3223E+18,@tundealuko Link bridge from which street to which street? @DesmondElliot_,Richie2106
98,2020-10-30 22:16:58+00:00,1.3223E+18,Wahala dey for producers wey cast Desmond Elliot for film wey never commit for cinema 😂😂😂😂😂,teamieoh
99,2020-10-30 22:16:43+00:00,1.3223E+18,Desmond Elliot don private him account again 😂,MarlOMonTanA_
100,2020-10-30 22:16:37+00:00,1.3223E+18,"This Ka3na girl Dey do Laycon same way Desmond Elliot treated youths..

Ewoni “Congratulations SON”",bennie0874
101,2020-10-30 22:15:51+00:00,1.3223E+18,@OfficialUdiBoy I give you Desmond Elliot the actor and Desmond idiot the politician,Sunnys3d1
102,2020-10-30 22:11:37+00:00,1.3223E+18,@ThatsManchester @ShwagDr @MarcusRashford Please tag Desmond Elliot,DrObetta
103,2020-10-30 22:11:37+00:00,1.3223E+18,Make we replace Desmond elliot with Lulade ..baba no go disappoint us laye....... #waitingyouthink #FridayThoughts #NigerianYouths https://t.co/9Y6Yr6FY8r,drseaboy
104,2020-10-30 22:10:39+00:00,1.3223E+18,VIDEO: Desmond Elliot Breaks Down In Tears Following Backlash From Nigerians https://t.co/3SwN82uWcu #MadeinLagos #KillSocialMediaBill #wizkid CCTV FOOTAGE Burna #HiErica Davido Apollo Fireboy Laycon #bbnaija #DesmondElliott momodu #StreamNobodyRemix #TachaXTiwa plateau,News_Breakiing
105,2020-10-30 22:09:49+00:00,1.3223E+18,@Sam_The_Sensei @AishaYesufu Have you met Desmond Elliot ?,911_woli
106,2020-10-30 22:08:53+00:00,1.3223E+18,@tifefabunmi @SavvyRinu 😂na Desmond Elliot's ultra modern bridge 😂,ice_rum_
107,2020-10-30 22:06:29+00:00,1.3223E+18,@3RD_General @Sam_The_Sensei @AishaYesufu Lol master degree how about Desmond Elliot and Alli marcurley  even bukola Saraki and Co Wetin dem offer,hulaguk28652116
108,2020-10-30 22:05:42+00:00,1.3223E+18,Are we still dragging Desmond Elliot or are my late to the parry...,SaintElvis_
109,2020-10-30 22:03:49+00:00,1.3223E+18,"What albino can cause. Please, help and show them better. Wetyn concern tissue and bread nah! My brethren, stay safe joor! This life is full #desmondelliot https://t.co/v1mR2fj2eE",Triggagear
110,2020-10-30 22:03:24+00:00,1.3223E+18,“Wizkid Has Represented Surulere Consistency More Than You And He’s Not Even A Politician!” – OAP Dotun Shades Desmond Elliot https://t.co/AoxEQceJGH,tundeupdate
111,2020-10-30 22:03:23+00:00,1.3223E+18,@wizs_m @Inamcoded @holardamolar @davido You these children(Desmond Elliot) will not kill person😂😂😂,Bnjface
112,2020-10-30 22:02:25+00:00,1.3223E+18,Is either the money wasn’t made available and he used his personal funds to run that or he was given funds and he also diverted some for his self. Which @DesmondElliot_ https://t.co/4Ay1fXOJh4,chukwu_bishop
113,2020-10-30 22:02:20+00:00,1.3223E+18,@davido Our own self too much...this fight big pass Desmond Elliot....Make we #Focus all I here now is Desmond Elliot and nothing else.,TufiftyGb
